Year,Period,Channel,Volume,Value
2020,2020,ATM,1914220419,18199660257528.4
2020,2020,Cheques,20023553,15417903424084.9
2020,2020,Direct_Debits,2970595,2434383762154.89
2020,2020,Internet,6480548630,392340246629460.0
2020,2020,MMOs,769238689,14987738865830.6
2020,2020,Mobile_App,411452926,32400853034221.7
2020,2020,NEFT,184886953,299695123083178.0
2020,2020,POS,655748348,4727076813500.42
2020,2020,RTGS,13460532,490827301156373.0
2020,2020,Total,10145624441,1245658035983230.0
2020,2020,USSD,482336038,5033391246816.66
2021,2021,ATM,1599187337,21230934547926.6
2021,2021,Cheques,18257340,15606837993095.6
2021,2021,Direct_Debits,103275936,23011791142706.0
2021,2021,Internet,10321579925,545039685403942.0
2021,2021,MMOs,1201541158,15395017340242.2
2021,2021,Mobile_App,831540635,53208272485553.6
2021,2021,NEFT,172792505,410171471820963.0
2021,2021,POS,2743555841,24455416207819.6
2021,2021,RTGS,1042115,588206008267591.0
2021,2021,Total,16325885851,1670503476386260.0
2021,2021,USSD,552911557,5179896509758.23
2022,2022,ATM,1506991903,32648023588216.2
2022,2022,Cheques,16907129,15250724091469.3
2022,2022,Direct_Debits,151011103,26409371273656.0
2022,2022,Internet,14063927436,783660029415336.0
2022,2022,MMOs,1926293135,32599014785038.2
2022,2022,Mobile_App,1861362984,111122110680403.0
2022,2022,NEFT,88468437,477366944460363.0
2022,2022,POS,3885782065,41035801320926.6
2022,2022,RTGS,288216,73706479398538.4
2022,2022,Total,22073912739,1550443208305530.0
2022,2022,USSD,516080595,4494448168094.12
2023,2023,ATM,1012277981,28212594626317.6
2023,2023,Cheques,16054396,15522398801893.9
2023,2023,Direct_Debits,133580757,21423121326181.1
2023,2023,Internet,21753925242,1097133039705830.0
2023,2023,MMOs,10774795048,97163887025386.8
2023,2023,Mobile_App,5259477576,219800083901667.0
2023,2023,NEFT,93112941,646336529663539.0
2023,2023,POS,9847258500,110347102925486.0
2023,2023,RTGS,304178,112701551998007.0
2023,2023,Total,38730537534,2240794454444110.0
2023,2023,USSD,630600359,4840430297077.7
2024,2024_H1,ATM,496436959,12206733099741.9
2024,2024_H1,Cheques,6877644,8741212873693.0
2024,2024_H1,Direct_Debits,99273566,12517759222441.5
2024,2024_H1,Internet,11638142074,825500108736661.0
2024,2024_H1,MMOs,7181494209,78203693683958.5
2024,2024_H1,Mobile_App,3493116888,159419658081137.0
2024,2024_H1,NEFT,44828568,366070778840562.0
2024,2024_H1,POS,6395670571,85914704798833.2
2024,2024_H1,RTGS,182583,95087892176084.5
2024,2024_H1,Total,22419710555,1558905734175560.0
2024,2024_H1,USSD,252059346,2188099220103.11
