Channel,2020,2021,2022,2023,2024
ATM,18199660257528.4,21230934547926.6,32648023588216.2,28212594626317.6,12206733099741.9
Cheques,15417903424084.9,15606837993095.6,15250724091469.3,15522398801893.9,8741212873693.0
Direct_Debits,2434383762154.89,23011791142706.0,26409371273656.0,21423121326181.1,12517759222441.5
Internet,392340246629460.0,545039685403942.0,783660029415336.0,1097133039705830.0,825500108736661.0
MMOs,14987738865830.6,15395017340242.2,32599014785038.2,97163887025386.8,78203693683958.5
Mobile_App,32400853034221.7,53208272485553.6,111122110680403.0,219800083901667.0,159419658081137.0
NEFT,299695123083178.0,410171471820963.0,477366944460363.0,646336529663539.0,366070778840562.0
POS,4727076813500.42,24455416207819.6,41035801320926.6,110347102925486.0,85914704798833.2
RTGS,490827301156373.0,588206008267591.0,73706479398538.4,112701551998007.0,95087892176084.5
Total,1245658035983230.0,1670503476386260.0,1550443208305530.0,2240794454444110.0,1558905734175560.0
USSD,5033391246816.66,5179896509758.23,4494448168094.12,4840430297077.7,2188099220103.11
