Channel,2020,2021,2022,2023,2024
ATM,1914220419,1599187337,1506991903,1012277981,496436959
Cheques,20023553,18257340,16907129,16054396,6877644
Direct_Debits,2970595,103275936,151011103,133580757,99273566
Internet,6480548630,10321579925,14063927436,21753925242,11638142074
MMOs,769238689,1201541158,1926293135,10774795048,7181494209
Mobile_App,411452926,831540635,1861362984,5259477576,3493116888
NEFT,184886953,172792505,88468437,93112941,44828568
POS,655748348,2743555841,3885782065,9847258500,6395670571
RTGS,13460532,1042115,288216,304178,182583
Total,10145624441,16325885851,22073912739,38730537534,22419710555
USSD,482336038,552911557,516080595,630600359,252059346
